Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
48.7671,-64.39906,36.2,15.916,1
48.766849,-64.397829,39,16.01,2
48.766597,-64.396597,41.3,16.105,3
48.766346,-64.395366,45.3,16.2,3
48.766094,-64.394134,43.9,16.294,1
48.765843,-64.392903,49.8,16.389,2
48.765591,-64.391671,53.5,16.483,5
48.76534,-64.39044,55.6,16.578,3
48.76518,-64.38935,57.5,16.66,2
48.76507,-64.38856,56.8,16.719,1
48.76497,-64.38757,56.7,16.793,-1
48.76492,-64.38698,55.3,16.836,-1
48.76485,-64.38578,52.7,16.925,-3
48.764783,-64.384637,50.1,17.009,-3
48.764715,-64.383495,46.9,17.093,-3
48.764648,-64.382353,44.9,17.177,-3
48.76458,-64.38121,43.7,17.261,-2
48.764525,-64.380155,41,17.339,-2
48.76447,-64.3791,40.7,17.417,-2
48.76442,-64.37828,41.1,17.477,0
48.76437,-64.37746,39.8,17.538,-1
48.764315,-64.376535,37.1,17.606,-3
48.76426,-64.37561,36.2,17.674,-3
48.764205,-64.37459,35.7,17.749,-1
48.76415,-64.37357,31.7,17.824,-3
48.764095,-64.37252,29.1,17.901,-4
48.76404,-64.37147,27.8,17.979,-3
48.76398,-64.37033,25.5,18.063,-2
48.76394,-64.36987,25.5,18.097,-2
48.76392,-64.36965,25,18.113,-2
48.76391,-64.36948,24,18.125,-3
48.76388,-64.36925,22.9,18.143,-3
48.76383,-64.36877,23.4,18.178,-2
48.76378,-64.3684,23.8,18.206,-2
48.7637,-64.36797,23.3,18.239,-1
48.76365,-64.36773,23.2,18.257,0
48.76357,-64.36741,22,18.282,-1
48.76349,-64.36714,21.8,18.304,-1
48.76339,-64.36682,20.6,18.33,-3
48.763175,-64.366215,21.8,18.38,-1
48.76296,-64.36561,22.2,18.431,2
48.762627,-64.36466,21.4,18.51,0
48.762293,-64.36371,22.1,18.589,0
48.76196,-64.36276,20.2,18.668,-1
48.761657,-64.3619,21.7,18.739,0
48.761353,-64.36104,23.2,18.811,2
48.76105,-64.36018,21.7,18.883,0
48.760765,-64.35943,22.9,18.946,0
48.76048,-64.35868,22.6,19.01,1
48.76026,-64.358055,24.8,19.062,2
48.76004,-64.35743,25.2,19.114,2
48.75962,-64.356245,27.2,19.212,2
48.7592,-64.35506,25.1,19.311,0
48.75879,-64.35388,28.9,19.409,1
